"Time","avg(disp_slipweakening (0))","avg(vel_slipweakening (0))"
0,0,0
0.05,0,0
0.1,2.4626e-87,8.7258e-84
0.15,5.976e-72,3.6139e-69
0.2,8.7138e-63,3.0466e-60
0.25,-5.7359e-55,-2.0694e-52
0.3,-9.1207e-49,-2.462e-46
0.35,-5.5605e-44,-9.3543e-42
0.4,6.1608e-39,1.4965e-36
0.45,1.9805e-34,3.901e-32
0.5,1.4183e-30,2.4229e-28
0.55,3.5704e-27,5.3853e-25
0.6,3.8298e-24,5.1377e-22
0.65,1.9651e-21,2.3513e-19
0.7,5.2473e-19,5.5547e-17
0.75,8.9571e-18,6.769e-16
0.8,8.8659e-16,7.8765e-14
0.85,4.6008e-14,3.221e-12
0.9,9.1031e-13,4.4145e-11
0.95,3.4797e-12,-7.0192e-11
1,-6.6059e-11,-3.9675e-09
1.05,-3.8079e-10,-2.0473e-09
1.1,2.51e-09,1.7881e-07
1.15,2.7473e-08,9.5236e-07
1.2,1.1186e-07,2.5563e-06
1.25,2.9408e-07,4.8403e-06
1.3,6.1302e-07,8.2014e-06
1.35,1.1684e-06,1.5044e-05
1.4,2.2778e-06,3.1025e-05
1.45,4.3102e-06,4.8943e-05
1.5,7.0223e-06,5.9946e-05
1.55,1.0732e-05,9.5668e-05
1.6,1.7085e-05,0.00015809
1.65,2.6243e-05,0.00020906
1.7,3.8991e-05,0.00031589
1.75,5.8638e-05,0.00046785
1.8,8.5236e-05,0.00059467
1.85,0.00011855,0.00074184
1.9,0.00015876,0.00085057
1.95,0.00020273,0.00091485
2,0.00025078,0.00098749
2.05,0.000297,0.00083143
2.1,0.00033846,0.00093064
2.15,0.00039465,0.0012498
2.2,0.00045285,0.0010377
2.25,0.00050467,0.0011203
2.3,0.00056482,0.0012149
2.35,0.0006212,0.0010408
2.4,0.00067036,0.00091349
2.45,0.00070768,0.00052923
2.5,0.00072351,0.00014816
2.55,0.00072273,-0.00026419
2.6,0.00068345,-0.0014151
2.65,0.0005849,-0.0023177
2.7,0.00048231,-0.0014867
2.75,0.00044842,1.4799e-05
2.8,0.000456,1.6283e-05
2.85,0.0004498,2.8268e-05
2.9,0.00049221,0.001837
2.95,0.00062143,0.0029539
3,0.0007438,0.0016759
3.05,0.00080874,0.0015438
3.1,0.00096167,0.0048771
3.15,0.0012635,0.0063483
3.2,0.0015259,0.004026
3.25,0.0017213,0.0046594
3.3,0.0020368,0.007739
3.35,0.0024348,0.0076064
3.4,0.0027664,0.0054888
3.45,0.0029931,0.0042008
3.5,0.0032775,0.0078935
3.55,0.0038073,0.013104
3.6,0.0045456,0.015974
3.65,0.0053759,0.017691
3.7,0.006376,0.022633
3.75,0.0084136,0.068234
3.8,0.0064367,-0.18087
3.85,0.065939,2.701
3.9,0.25928,4.2128
3.95,0.43538,2.7542
4,0.55459,2.0619
4.05,0.63558,1.4889
4.1,0.70546,1.1798
4.15,0.76472,1.2482
4.2,0.81476,0.96237
4.25,0.86842,0.87417
4.3,0.90685,0.68888
4.35,0.95236,1.0174
4.4,0.99324,0.67576
4.45,1.0325,0.85594
4.5,1.07,0.78335
4.55,1.1053,0.63369
4.6,1.1413,0.62752
4.65,1.1756,0.68728
4.7,1.2138,0.71328
4.75,1.2479,0.66588
4.8,1.2777,0.59392
4.85,1.31,0.71205
4.9,1.3411,0.64445
4.95,1.3763,0.67417
5,1.4059,0.53808
5.05,1.4325,0.60016
5.1,1.4608,0.57385
5.15,1.4886,0.53746
5.2,1.5187,0.6124
5.25,1.5454,0.43626
5.3,1.5688,0.51869
5.35,1.598,0.61052
5.4,1.6214,0.36127
5.45,1.6442,0.56074
5.5,1.6703,0.48341
5.55,1.6928,0.41644
5.6,1.7126,0.40299
5.65,1.735,0.46233
5.7,1.7555,0.36508
5.75,1.7741,0.3985
5.8,1.7965,0.44366
5.85,1.8139,0.29329
5.9,1.8315,0.4309
5.95,1.8552,0.47758
6,1.8755,0.31974
6.05,1.89,0.31286
6.1,1.9071,0.359
6.15,1.9266,0.41276
6.2,1.9467,0.36921
6.25,1.9627,0.29462
6.3,1.9794,0.37189
6.35,1.9974,0.35371
6.4,2.0166,0.4121
6.45,2.0354,0.32922
6.5,2.0506,0.28288
6.55,2.065,0.32207
6.6,2.0825,0.32655
6.65,2.0961,0.25605
6.7,2.1106,0.32172
6.75,2.1283,0.39366
6.8,2.1483,0.38602
6.85,2.166,0.30715
6.9,2.1792,0.25176
6.95,2.1942,0.35212
7,2.2119,0.32418
7.05,2.2265,0.27972
7.1,2.2409,0.30481
7.15,2.2582,0.38997
7.2,2.2776,0.36469
7.25,2.2948,0.32834
7.3,2.3098,0.26437
7.35,2.323,0.28285
7.4,2.3373,0.27417
7.45,2.3508,0.27772
7.5,2.3641,0.22664
7.55,2.3728,0.14446
7.6,2.3804,0.1569
7.65,2.3873,0.11354
7.7,2.3926,0.11044
7.75,2.3993,0.15688
7.8,2.4068,0.12921
7.85,2.412,0.081106
7.9,2.415,0.047456
7.95,2.4187,0.1157
8,2.4262,0.17858
8.05,2.4365,0.21874
8.1,2.4457,0.138
8.15,2.451,0.084632
8.2,2.454,0.027275
8.25,2.4539,-0.014032
8.3,2.4544,0.037735
8.35,2.4571,0.069676
8.4,2.4616,0.10542
8.45,2.4671,0.11048
8.5,2.4725,0.10086
8.55,2.4768,0.06418
8.6,2.4791,0.043805
8.65,2.482,0.066994
8.7,2.4844,0.033054
8.75,2.4879,0.13048
8.8,2.4977,0.25075
8.85,2.5117,0.29718
8.9,2.5258,0.25579
8.95,2.5373,0.20089
9,2.5448,0.092421
9.05,2.5472,0.022301
9.1,2.5481,0.0062537
9.15,2.5475,-0.026095
