"Time","avg(disp_slipweakening (0))","avg(vel_slipweakening (0))"
0,0,0
0.05,0.0019509,0.078693
0.1,0.0060069,0.088717
0.15,0.01198,0.15629
0.2,0.022134,0.25024
0.25,0.038012,0.40698
0.3,0.063567,0.62087
0.35,0.10192,0.93889
0.4,0.16077,1.4431
0.45,0.24741,1.8872
0.5,0.33342,1.5107
0.55,0.40704,1.4537
0.6,0.47395,1.1741
0.65,0.52929,1.072
0.7,0.57973,0.90257
0.75,0.61936,0.75018
0.8,0.65564,0.66611
0.85,0.68547,0.56652
0.9,0.70976,0.38787
0.95,0.7279,0.37239
1,0.74602,0.30972
1.05,0.75996,0.28832
1.1,0.77424,0.24309
1.15,0.78406,0.19604
1.2,0.79632,0.26854
1.25,0.80728,0.17642
1.3,0.81679,0.23582
1.35,0.82874,0.19462
1.4,0.83683,0.17134
1.45,0.84677,0.2103
1.5,0.85662,0.17523
1.55,0.86553,0.18802
1.6,0.87562,0.20185
1.65,0.88535,0.18919
1.7,0.89498,0.19869
1.75,0.90526,0.21305
1.8,0.91563,0.19719
1.85,0.925,0.18444
1.9,0.93474,0.21226
1.95,0.94599,0.23699
2,0.95799,0.23114
2.05,0.96834,0.19354
2.1,0.9783,0.19899
2.15,0.9882,0.20872
2.2,0.99959,0.23975
2.25,1.0119,0.25482
2.3,1.0242,0.22041
2.35,1.0344,0.20762
2.4,1.046,0.25208
2.45,1.0581,0.22617
2.5,1.0691,0.21103
2.55,1.0794,0.2185
2.6,1.0923,0.28481
2.65,1.1055,0.23429
2.7,1.1164,0.21591
2.75,1.1273,0.2158
2.8,1.1392,0.26929
2.85,1.153,0.26354
2.9,1.1651,0.23047
2.95,1.1768,0.241
3,1.1892,0.24774
3.05,1.2011,0.23232
3.1,1.2133,0.25774
3.15,1.2267,0.27814
3.2,1.2407,0.27426
3.25,1.2534,0.23265
3.3,1.2647,0.23189
3.35,1.2773,0.27393
3.4,1.2917,0.29247
3.45,1.3058,0.26656
3.5,1.3189,0.26612
3.55,1.3329,0.29471
3.6,1.3481,0.30748
3.65,1.3633,0.30165
3.7,1.3783,0.29908
3.75,1.3929,0.285
3.8,1.407,0.27668
3.85,1.4202,0.25336
3.9,1.4337,0.30096
3.95,1.45,0.33381
4,1.466,0.30909
4.05,1.4812,0.29294
4.1,1.4949,0.25929
4.15,1.5079,0.26902
4.2,1.522,0.29048
4.25,1.5366,0.29577
4.3,1.5519,0.31763
4.35,1.5681,0.32832
4.4,1.5846,0.32394
4.45,1.5998,0.28615
4.5,1.6141,0.28981
4.55,1.629,0.30533
4.6,1.6443,0.30435
4.65,1.6591,0.28839
4.7,1.6735,0.28751
4.75,1.6878,0.2875
4.8,1.7027,0.31149
4.85,1.7182,0.29737
4.9,1.7324,0.27963
4.95,1.7466,0.28513
5,1.7608,0.28639
5.05,1.7755,0.29939
5.1,1.7904,0.29645
5.15,1.8053,0.30119
5.2,1.8203,0.29582
5.25,1.8349,0.28638
5.3,1.8489,0.27622
5.35,1.8632,0.30112
5.4,1.8788,0.31662
5.45,1.8946,0.31768
5.5,1.9108,0.33128
5.55,1.9274,0.33208
5.6,1.9446,0.36517
5.65,1.965,0.46279
5.7,1.9915,0.59675
5.75,2.0237,0.66973
5.8,2.0561,0.60485
5.85,2.0829,0.46757
5.9,2.1041,0.39798
5.95,2.1237,0.38804
6,2.1426,0.36511
6.05,2.1602,0.34065
6.1,2.1769,0.32725
6.15,2.1929,0.31257
6.2,2.2086,0.31905
6.25,2.2248,0.32587
6.3,2.2409,0.32031
6.35,2.2572,0.32985
6.4,2.2731,0.30108
6.45,2.2873,0.27025
6.5,2.3008,0.27537
6.55,2.315,0.29012
6.6,2.3296,0.29094
6.65,2.3438,0.28048
6.7,2.3579,0.28109
6.75,2.3717,0.26983
6.8,2.3846,0.24716
6.85,2.397,0.2529
6.9,2.4102,0.27303
6.95,2.4237,0.26459
7,2.4366,0.25413
7.05,2.4491,0.24278
7.1,2.4609,0.23097
7.15,2.4722,0.21958
7.2,2.4829,0.21125
7.25,2.4937,0.22318
7.3,2.5055,0.25317
7.35,2.5189,0.27288
7.4,2.532,0.24687
7.45,2.5435,0.21783
7.5,2.5539,0.19876
7.55,2.5638,0.20438
7.6,2.5746,0.2253
7.65,2.5858,0.21826
7.7,2.5964,0.20728
7.75,2.6065,0.19238
7.8,2.6157,0.1801
7.85,2.6246,0.17249
7.9,2.6324,0.13483
7.95,2.6382,0.10311
8,2.6436,0.11802
8.05,2.6501,0.14134
8.1,2.6571,0.1316
8.15,2.6633,0.12157
8.2,2.6695,0.12553
8.25,2.6757,0.11953
8.3,2.6811,0.097695
8.35,2.6857,0.085628
8.4,2.69,0.092836
8.45,2.6951,0.10911
8.5,2.7005,0.10031
8.55,2.7048,0.072538
8.6,2.7082,0.069378
8.65,2.7116,0.058542
8.7,2.7134,0.011331
8.75,2.7129,-0.030622
8.8,2.7111,-0.031583
8.85,2.7103,-0.0003668
8.9,2.711,0.027154
8.95,2.7128,0.039129
9,2.7144,0.020413
9.05,2.7147,-0.0076576
9.1,2.7137,-0.027361
9.15,2.7123,-0.028095
9.2,2.7112,-0.0094375
9.25,2.7114,0.017244
9.3,2.7126,0.025686
9.35,2.7137,0.017619
9.4,2.7148,0.026921
9.45,2.7154,-0.0074926
9.5,2.7145,-0.01968
9.55,2.714,0.006603
9.6,2.7153,0.042419
9.65,2.7179,0.061697
9.7,2.7217,0.095983
9.75,2.7277,0.13597
9.8,2.7343,0.12082
9.85,2.7393,0.075037
9.9,2.7418,0.02781
9.95,2.7425,0.0067662
10,2.7427,-0.00046239
10.05,2.7427,0.0050083
10.1,2.7436,0.028046
10.15,2.745,0.023761
10.2,2.7456,0.0032124
10.25,2.7456,-0.0021568
10.3,2.7454,-0.0090573
10.35,2.7447,-0.019621
10.4,2.7436,-0.022484
10.45,2.7427,-0.0087192
10.5,2.7427,0.010685
10.55,2.7447,0.059207
10.6,2.7489,0.11726
10.65,2.7561,0.16065
10.7,2.7642,0.15408
10.75,2.7707,0.10307
10.8,2.7744,0.048632
10.85,2.7759,0.012914
10.9,2.7761,-0.0059645
10.95,2.7756,-0.013385
11,2.7751,-0.003534
11.05,2.775,-0.0020031
11.1,2.775,0.0030815
11.15,2.7753,0.0075593
11.2,2.7757,0.0090852
11.25,2.7761,0.0075928
11.3,2.7764,0.0029368
11.35,2.7762,-0.014901
11.4,2.775,-0.027679
11.45,2.7739,-0.013067
11.5,2.7739,0.0093695
11.55,2.7746,0.017101
11.6,2.7754,0.01309
11.65,2.7758,0.0025691
11.7,2.7756,-0.007969
11.75,2.7753,-0.0021392
11.8,2.7754,0.0038422
11.85,2.7755,-0.00094473
11.9,2.7754,-0.0021811
11.95,2.7755,0.0075889
12,2.776,0.012623
