"Time","avg(disp_slipweakening (0))","avg(vel_slipweakening (0))"
0,0,0
0.05,0,0
0.1,0,0
0.15,3.1454e-143,1.0336e-139
0.2,3.721e-125,3.5146e-122
0.25,2.9727e-113,1.7464e-110
0.3,4.5932e-104,2.0134e-101
0.35,1.5664e-96,5.4596e-94
0.4,2.2423e-90,5.6492e-88
0.45,-2.4816e-84,-7.8221e-82
0.5,-1.2708e-78,-3.2723e-76
0.55,-1.1209e-73,-2.5008e-71
0.6,-2.0424e-69,-3.6205e-67
0.65,3.2509e-65,8.2198e-63
0.7,1.2093e-60,2.4382e-58
0.75,1.2652e-56,2.3149e-54
0.8,6.4587e-53,1.0931e-50
0.85,1.85e-49,2.9174e-47
0.9,3.2042e-46,4.7285e-44
0.95,3.5412e-43,4.9055e-41
1,2.6068e-40,3.3983e-38
1.05,1.3247e-37,1.6285e-35
1.1,4.789e-35,5.5601e-33
1.15,1.2632e-32,1.3869e-30
1.2,2.4839e-30,2.5812e-28
1.25,3.7084e-28,3.6493e-26
1.3,4.269e-26,3.9789e-24
1.35,3.8383e-24,3.3874e-22
1.4,2.723e-22,2.2735e-20
1.45,1.5351e-20,1.2103e-18
1.5,6.8601e-19,5.0567e-17
1.55,6.238e-18,-1.8023e-16
1.6,-5.1713e-18,-6.9992e-16
1.65,-1.3973e-16,-5.8659e-15
1.7,5.6796e-16,1.0726e-13
1.75,7.1591e-14,5.1452e-12
1.8,1.7803e-12,1.0459e-10
1.85,2.6876e-11,1.3551e-09
1.9,2.7695e-10,1.1944e-08
1.95,1.9994e-09,7.2068e-08
2,1.0146e-08,2.9396e-07
2.05,3.6332e-08,8.0538e-07
2.1,9.5235e-08,1.5997e-06
2.15,2.0759e-07,3.1437e-06
2.2,4.5534e-07,7.4067e-06
2.25,1.0062e-06,1.4933e-05
2.3,1.9405e-06,2.2215e-05
2.35,3.2693e-06,3.2496e-05
2.4,5.4468e-06,5.7381e-05
2.45,9.152e-06,9.069e-05
2.5,1.4522e-05,0.00012639
2.55,2.2362e-05,0.00019496
2.6,3.4606e-05,0.00029783
2.65,5.2409e-05,0.00041918
2.7,7.7232e-05,0.0005801
2.75,0.00011052,0.00074626
2.8,0.000151,0.00086317
2.85,0.00019603,0.00093394
2.9,0.0002445,0.0010097
2.95,0.00029749,0.0011118
3,0.00035523,0.0011867
3.05,0.00041478,0.0011851
3.1,0.00047428,0.0012205
3.15,0.00054017,0.0014385
3.2,0.00061715,0.0015983
3.25,0.00069579,0.0015349
3.3,0.00077415,0.0016674
3.35,0.00086802,0.0021049
3.4,0.00098165,0.0023686
3.45,0.0010957,0.0021062
3.5,0.0011908,0.0017889
3.55,0.0012925,0.0024823
3.6,0.0014475,0.0036334
3.65,0.0016349,0.0036115
3.7,0.0017925,0.0026732
3.75,0.0019141,0.0024038
3.8,0.0020554,0.0034241
3.85,0.0022625,0.0047945
3.9,0.0025195,0.0052981
3.95,0.0027774,0.0049143
4,0.0030026,0.0040082
4.05,0.0031692,0.0025828
4.1,0.0032579,0.00096563
4.15,0.0032666,-0.00059742
4.2,0.0032038,-0.0018044
4.25,0.0031034,-0.0019775
4.3,0.003033,-0.00056621
4.35,0.003064,0.0018341
4.4,0.0032055,0.0036227
4.45,0.0034052,0.0042025
4.5,0.0036247,0.0047559
4.55,0.0039073,0.0067628
4.6,0.0043041,0.0089678
4.65,0.0047837,0.010042
4.7,0.0053043,0.010876
4.75,0.0058828,0.012308
4.8,0.0065286,0.01339
4.85,0.0072161,0.014214
4.9,0.0079597,0.015441
4.95,0.0087527,0.016522
5,0.0096586,0.020117
5.05,0.010812,0.026853
5.1,0.012465,0.042769
5.15,0.016317,0.54108
5.2,0.1166,2.865
5.25,0.2509,1.8945
5.3,0.31251,0.87718
5.35,0.34202,0.39392
5.4,0.36242,0.24152
5.45,0.39413,1.0787
5.5,0.4676,1.8538
5.55,0.56076,1.845
5.6,0.64478,1.5192
5.65,0.71336,1.3362
5.7,0.77573,1.1874
5.75,0.83115,0.87567
5.8,0.87525,0.86878
5.85,0.91788,0.88073
5.9,0.96187,0.74757
5.95,0.99873,0.71632
6,1.0381,0.85558
6.05,1.0714,0.57191
6.1,1.1,0.68311
6.15,1.1338,0.70391
6.2,1.1658,0.57444
6.25,1.192,0.41929
6.3,1.2137,0.39179
6.35,1.2313,0.2681
6.4,1.2452,0.39324
6.45,1.263,0.35216
6.5,1.278,0.2654
6.55,1.2956,0.41165
6.6,1.3153,0.36257
6.65,1.335,0.36381
6.7,1.3492,0.27138
6.75,1.3618,0.24323
6.8,1.3723,0.15276
6.85,1.38,0.17663
6.9,1.3851,0.04453
6.95,1.388,0.12375
7,1.3953,0.090172
7.05,1.397,0.009475
7.1,1.4006,0.17117
7.15,1.4123,0.2388
7.2,1.4207,0.089776
7.25,1.4271,0.21018
7.3,1.4409,0.30052
7.35,1.4543,0.2379
7.4,1.4655,0.20794
7.45,1.4724,0.072864
7.5,1.4762,0.10053
7.55,1.4817,0.095053
7.6,1.4857,0.069397
7.65,1.4886,0.077997
7.7,1.4931,0.071328
7.75,1.4972,0.10098
7.8,1.5018,0.057507
7.85,1.5029,-0.00070368
7.9,1.5037,0.034281
7.95,1.5056,0.036618
8,1.5074,0.045871
8.05,1.5093,0.03164
8.1,1.5107,0.02728
8.15,1.5123,0.044583
8.2,1.516,0.08462
8.25,1.5176,-0.024628
8.3,1.5166,0.0046263
8.35,1.5167,-0.0050979
8.4,1.517,0.03763
8.45,1.5189,0.018442
8.5,1.5196,0.025094
8.55,1.5214,0.036485
8.6,1.5229,0.0063789
8.65,1.5218,-0.036829
8.7,1.521,0.01407
8.75,1.524,0.09488
